destination,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C“te d'Ivoire,Croatia,Cuba,Cura‡ao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R‚union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Lesotho,,,,,,15,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,29,,10,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 197,,,,,,,28,,,,,,,,,,,,,,,,,31,,,,28,76,,,,,,,,,,52,103
Namibia,,,,,,  18 628,,,,,,,,,,,,,,,,,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  7 670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  8 219,  3 836
South Africa,45,75,207,,,  33 414,,,  1 988,,,  3 321,  2 485,,1,76,  2 205,26,111,  6 663,,163,52,,75,152,  41 057,  2 459,11,11,  3 298,,  4 517,,  2 114,  2 624,,617,,55,0,,308,  19 629,  1 015,0,273,91,  19 171,,,527,462,707,  7 086,  2 266,919,117,  21 865,  2 119,,,,,  2 904,,,864,67,  6 238,,,22,299,  6 347,,,263,,,  26 137,  6 421,25,  4 162,,,,,57,30,26,26,,,,,15,  38 894,  1 022,438,126,  10 143,,  2 809,  19 544,122,  1 100,48,,  13 801,,76,18,28,352,583,  265 050,479,137,,253,18,362,  59 706,763,48,91,215,,,,  7 126,,240,,22,,,,913,  394 185,183,  110 383,15,107,  16 855,,  2 621,93,18,  15 927,13,18,701,28,  9 787,,37,50,75,129,  1 257,  8 265,  44 451,,,  1 047,,281,  1 017,  2 846,  3 446,142,22,,,,,,,390,  2 309,  2 428,558,383,763,  1 439,265,,4,  18 440,,  1 332,917,828,86,  1 098,,  79 154,153,  1 236,99,,734,103,,,,,16,97,947,,,,  5 099,  3 192,151,  263 456,  9 110,  14 136,,72,,,189,101,,,73,  54 666,  302 722
Swaziland,,,,,,95,,,,,,40,,,,,,,,,,,,,,,49,,,,0,,170,,,17,,,,,,,,,,,,,56,,,,,,,,,,126,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,0,177,36,,,,,,,,,,,,,,,,,,,,,,,  9 674,,,,,,,19,,,1,,,,,,,,,,,,,,,,,,,,0,108,,,,,,,,,,,,,13,,,,,,69,  10 768,,,17,,,,,,,,,,,,,,,,,,,,,43,,,,,204,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  8 483,,,,,,,,,596,,,,,,,,  1 629,,,  11 719,,,,,,,,,,,,,,,,,,,,,,,  1 532,,,,,,,  8 708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 100,,,,,,,,,,,,,,,,,,,,,,,  64 618,  38 036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  41 033,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,  4 168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  539 493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  32 141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  43 711,,,,,,,,,,,,,,,,,,,,,,,  12 727,  3 560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 779,,,,,,,,,,,,,,,,,,,,,,,,,  15 356,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,356,,,4,,,,,,,,,,,11,,,,,,,,275,,,,,,,,,,7,,,,,,22,,,,,,,,7,,83,61,,,,,,,,,,,,,,,,,,,,194,,,7,5,,65,41,,,,,,,,397,  4 829,,,,,,,,,,,,,,393,,2,,,,,,,,,,,,,,,4,,,,,6,,,,,,,3,,,,,,,24,,,,,36,,,,,645,,,,,,,,,,2,,,  1 116,,,,,,,673,,,,,,,,,  1 649,,  1 423,,,14,,16,,,,,,,138,,,,,,,13,,,,,7,,,,,,,,,,,20,,50,,338,68,,,,,,,,,,
C“te d'Ivoire,,,,,,,,,,,,,,,,,,,,,,  58 947,,,,,,,,,, 1 411 131,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,  46 607,,,,,,,,  103 552,359,,,,,,,,,,,,,,,,,,,,,,,,,,,  89 867,  3 996,,,,,,,,  388 148,,,,  8 719,,,,,,,,,,,,,,,,,,,  54 275,  42 429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  20 709,,,719,,,,,,,,,,,,,,,,,,,,,,  54 870,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  34 941,  10 670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  8 007,,,,  2 819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  102 527,,,  2 017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,14,,,,,,,,,35,,,,,,,,,,  18 316,,,,,,14,,,,  87 230,,,125,301,,,,,16,,,248,,,,,,,,  10 021,,,,,,,33,,,,,,42,,,,,33,,,,,239,,,,39,,,,,,,,,,,151,,,,,,,,929,,,,,,49,252,,62,,,16,,,,,,  1 073,,  2 510,,,,,,,,,  7 344,,,,18,,,,,,,,,,,,,,,267,,,,  8 645,  30 412,,,,,97,,,,,,40,70,,,,,,,,97,547,,,,,,,,,,109,,,243,,,,,,,,24,,30,,13,,,,213,76,,,,,  134 014,,,,,,,,,,,,  1 988,12,894,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,120,,  1 366,,,,,,144,,,,279,,,,173,58,,,,,,,78,,,,,,,,  6 140,,36,,,,,,,,,,,,,,,,,,,,,955,,,,471,,493,778,,,,,,,,,  1 626,,,,,,,,,36,,,,,60,,16,,,,,,,,,496,,  108 296,,,,,,,2,,  9 034,,,,224,,,,,,,,,,,,,,,,,,,810,529,,,,,3,,,,,,,,138,,,81,,,,278,,,,,,,,,,396,  3 934,,,  207 176,,,,,,,,,35,,,,,,,,18,,,,,853,,,,,,,,,,49,,,,321,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,  1 410,,,,,,,,,,,  4 657,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,,,,,,,,,,,,,,,,,,  7 424,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,261,,,,59,,,,,,,,,,,,,,,,  31 109,,,,,,,,,,,,,,,,,,,,,,,70,,,,841,,220,  8 351,,,,,,,,  41 789,538,,,,,,,842,,,,,,,60,,,,,,,,,,,  1 029,,,,,,,,,,,  1 497,,,,,,,,,,,,,,,,,,,71,,,,268,  5 815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,  14 859,,,,,,,,,68,,,,,,266,35,,,,,,432,,,,,,,,,,,,272,,534,,,,,,,,,,,
Mali,,,617,,,73,,,,,,,,,,,,,,,,579,,,,,,,,,,  22 467,,,631,,,,,301,,,,84,,,,,  4 298,,,  77 904,,,,,,,,,,,,,,,,,,,,,,,  2 616,,,  4 769,635,,,  2 661,,,,,,,,  16 340,,,,,,,,,,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,,,  14 063,,,,,,,,,,,,,,,,,,,  5 862,  1 697,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,  11 949,,,  1 311,,,,,,,,,,,,,,,,,,,,,,954,,,,,,,,,,,,,,248,,,,,,,,,,,
Mauritania,2,,  3 465,,,,,,145,,,,,,,,17,,,135,,  1 174,,,,,,343,,,,,,,837,113,,,,,115,,59,342,,,,,,,,418,,8,,,,,75,,,,,,483,,,,,,,,,,  2 984,,,183,,,67,446,,,,,,,,  6 559,  2 546,,4,,,,,,,,183,,,,120,,,,,,,68,,,,254,,,297,,,,,,,,  16 172,,,,,,,,,,,,,732,,,,,,53,,,,324,,,,,,,,,,,4,,,,,25,154,,,40,135,,,,,,,,,,653,  45 253,,,,,,,,,,,84,183,,324,44,,,,30,298,,,,,250,,,,528,,,,,,,149,,,237,,,,,,,,,15,,
Niger,,,467,,,,,,,,,,,,,,,,,,,  18 170,,,,,,,,,,  19 607,,,423,,,,,,767,,,,,,,,,,,  1 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,  45 795,,,,,,,,,,,,,,,,,,,,,,,,  19 722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 167,,,,,,,,,,,471,,,,66,,,,,,,,,,  9 844,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,  1 862,,,,,,,,,,  203 898,,,,,,,,,,  7 101,,,  43 385,,  3 641,,,,  47 068,,,,,,,,,,,  3 728,,,,,,,,,,,,,  16 452,,  8 186,,,,,,,,,,,,  5 563,,,  158 987,,,,,,,,  5 295,  4 144,,,,,,,,,,,,,,,,,,,,,,,,,,,  16 512,,,,,,,,,  114 071,,,,  30 804,,,,,,,,,,,,,,,,,,,  74 810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 058,,,  3 279,,,,,,,,,,,,,,,,,,,,,,  98 965,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,4,,,,,,4,,,,,,,,,,,,,,,,,7,,,,2,,,,,,,,7,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,2,,,,,,,,,,2,,,,,,,,,385,,16,,,,,,,,,,10,2
Senegal,,,  3 235,,,,,,,,,,,,,,,,,,,  2 786,,,,,,500,,,,,,,783,,,,,,,,,,,,,,,,,  2 169,,,,,,,,,,,,,,,,,,,,,,,  10 694,,,,  3 981,,674,  1 378,,,,,,,,  39 751,  22 760,,,,,,,,,,,,,,,,,,,,,,,,,852,,,,,,,,,,,  26 297,,,,  41 117,,,,,,,,,  3 180,,,,,,,,,,  1 305,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 100,,,,  11 498,,,,,,,,,,,,,,,,,,,,,,  1 289,,,,,,,,,,,,,,618,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,29,,,,31,5,,,,,,,231,,,,,,,,371,,,,,,6,,,,,,,,,,,,,,,,,,,,,  2 490,,112,  1 351,,,,,,,,  61 951,20,,,,,,,375,,,,,,,,,6,,,51,,,,,,821,,  22 303,,,,,,,,,748,,,,117,,,,,,,,,,,,,,,,,,,133,  2 106,,,,,135,,,,,,,,,,,13,,,,62,,,,,,,,,,,667,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,345,,361,,,,,,,,,,105,
Togo,,,,,,,,,,,,,,,,,,,,,,  54 365,,,,,,,,,,,12,,,,,,,13,16,,,,,,,,20,,,69,,,,,,,79,,,,,,,,,,,,,,,,  4 863,,,,,,589,  37 448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,,8,,,,,,,,,  2 350,,,,,,,,,,,,,,,,,,,,,,,  15 730,  16 040,,,,,,,,,,,,,,,,,,,,,  2 266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,,,,,,,,,,,
Kazakhstan,,,,,,,,,,  8 073,,,,  47 960,,,,,  48 325,,,,,,,,,,,,  3 218,,,,,,,,,,,,,  4 933,,,,,,,,,,,,,,  140 520,,,,,,,,,,,  2 535,,,,,,,,,,,  2 084,  91 920,,,  2 431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 933,,  2 535,,,,,,  3 246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  26 297,,,,  18 202,  8 096,,, 2 270 903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  36 082,,,,,,,,,  81 905,  2 391,,,,  235 356,,,,,,,  291 678,,,,,,,,
Kyrgyzstan,,,,,,,,,,  2 829,,,,  5 560,,,,,  11 820,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,  2 112,,,,,,,,,,,682,,,,,139,,,,,,  3 886,  2 164,,,,,,,,,,,,,,,,,,,,,,,,,,,,  15 377,,,,,,  1 073,,,,,,  3 149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 818,,,,279,  3 161,,573,  132 790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 621,,,,,,,,,  1 250,  1 190,,,,  31 811,,,,,,,  10 913,,,129,,,,,
Tajikistan,  8 968,,110,,,,,,,166,,,,143,,,,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,130,,,,,,,,,,,,,,,,,,,,562,133,,,,,,,,,,,,,,,,,523,,  1 013,,,,,,,,,710,,,,  11 092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,100,,,,,,,,,,,,775,,,  241 308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,379,,,,  1 190,,266,,234,,,  6 370,,,,,,,,
Turkmenistan,,,,,,,,,,  2 588,,,,  5 086,,,,,  10 815,,,,,,,,,,,,,,,,,,,,,,,,,296,,,,,,,,,,,,,,  1 933,,,,,,,,,,,624,,,,,127,,,,,,  3 555,  1 980,,,,,,,,,,,,,,,,,,,,,,,,,,,,  14 070,,,,  2 249,,982,,,,,,  2 881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 493,,,,264,  2 892,,524,  121 495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 398,,,,,,,,,  1 143,,,,,  29 104,,,,,,,  9 986,,,118,,,,,
Uzbekistan,435,,,,,,,,,  16 949,,,116,  33 319,,,,,  70 839,,,,,,,,,,,,625,,,,,,,,,,,,,  1 942,,,,,,,,,,,,,377,  12 659,,132,,,,,,,,,  4 089,,,,,833,,,,,,  23 288,  12 968,,,362,,,,,,,,,,,,623,,174,,,,,,259,,,,,  92 158,,,,  14 728,,  6 435,,,,,,  18 868,,,,,,,,,,,,,,,,632,,,,,,,,,,,,,,,,,,,,,,,,,,  22 879,,,,  1 729,  18 942,,  3 435,  588 945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,126,  15 707,,,,,,,,,  7 489,  7 135,,,,  190 634,,190,,118,,,,,,777,,,,,
China,,,,,,,,,,,,  7 461,,,,,  5 605,,,,,,,,,,,  102 922,,,,,,,,  12 295,,,,,,,,,  6 092,  21 698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  13 416,  52 322,,,,,,,,  7 792,,,,,,,,,,,,,,,,,,  7 246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  6 294,,,,,  19 310,  108 251,,,,,  198 332,,,,  5 370,,,,,,,,,,,,,,,,,,,,,,,,  5 676,,,,,,,,,  20 841,,,,,,,,,,,,,,,  11 263,,  38 060,,,,,,  27 798,,,,,
Democratic People's Republic of Korea,,,,,,,,,,,,183,,,,,138,,,,,,,,,,,  2 525,,,,,,,,301,,,,,,,,  25 969,149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,  1 284,,,,,,,,191,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,,474,  2 656,,,,,  4 866,,,,132,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,511,,,,,,,,,,,,,,,276,,934,,,,,,682,,,,,
"China, Hong Kong Special Administrative Region",,,,,,,,,,,,  8 910,,,,,435,,,,,,,,,,,,,,,,,,,  14 368,,,,,,,, 2 261 833,,  69 886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 150,,,,,,  1 934,,,,,,,,,,,,,,,,,  17 646,  131 913,,,682,,,629,,  13 903,,,,,,,,,,,,,,,,,,  14 969,,,,,,,,,,,,,,,,,,,,  9 149,999,,  2 203,,,,,,,,  7 403,,,,,,  115 566,,108,,,  4 736,,,,86,,,,,,,,,,,,,,,  9 682,,,,,,,,393,766,,,,,,712,,,  18 810,,,,,,,,,,,,,,,  17 314,,  12 986,,,,,,  10 712,,,,,
Japan,,,,,,,,,  4 334,,,  12 828,618,,,,  12 711,,,776,,,,,,,,  351 160,,,,,,  2 640,,  13 344,,,,,,,,  629 148,,,,,,,,,,,,,,,,621,,,,,  1 776,,,,,,,,,668,  9 140,,,,,,  6 401,  2 078,,,,,,,,,,,,,,,,  21 213,  27 891,  5 833,,  1 236,,,  2 544,,,,,,,,,,,,,,,,,,,,  8 866,,,,,,,,,  2 141,,,,,,,,,,,,  1 349,,  4 221,,,  2 756,,,436,,  10 195,,,,,  65 884,  217 093,  1 093,463,,,  671 198,,,,  8 167,,,,,,,,,,,,,,,  2 684,,,,,,,,  1 830,  9 936,,,,,  1 512,  1 139,,,  44 451,,,,,,,,,,,,,,,  19 976,,  57 581,,,,,,  36 448,,,,,
"China, Macao Special Administrative Region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  263 899,  20 720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  11 119,,  1 468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,191,14,,,,,,,,,,,,,,,,,,13,,,,,126,,,,,,,,  8 537,,,,,,,,,,,,,15,513,,,,,,,,,,,,,,,,3,67,,,,,,149,,,,,,,,,,,,,,,10,,90,,,,8,,,18,,337,,171,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,139,12,,,,  1 496,,,,  2 431,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,17,,,,4,,,,,,,181,,,,,,,80,,645,,2,,,,225,,,,,
Republic of Korea,,,,,,,,,,,,  4 200,,,,,  9 066,,,,,,,,,,,,,,,,,  11 357,,  14 556,,,,,,,,  512 705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 955,,,,,,  1 508,,,,,,,,,,,,,,,,,  4 624,  26 707,,,,,,,,  18 924,,  1 199,,,,  1 594,,,,,,,,,,,,,,,,,,,,,,,,  21 188,,,,,  3 706,,,  8 960,,,  1 863,,,  1 249,,,,,  8 104,,,,,,  38 460,,,,,,,,,  3 759,,,,,,,,,,,,,,,,,,,,,  1 620,,,  16 901,,,,,,,,,  26 829,,,,,,,,,,,,,,,  4 019,,  56 057,,,  20 206,,,  95 578,,,,,
Brunei Darussalam,,,,,,,,,,,,814,,,,,  1 978,,,,,,,,,,,,,,,,,,,,,,,,,,,913,  5 720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  9 911,307,,,,,,,,  89 318,,,,,,,,,,,,,,,,,,561,,,,,,,,,,,,,,,,,,,,337,  1 268,,  22 114,,,,,,,,292,,,,,,  3 024,,,,,  9 232,,,,,,,,,,,,,,,,,,,  1 992,,,,,,,,,  3 632,,,,,,,,,  22 191,,,,,,,,,,,,,,,  4 032,,272,,,,,,,,,,,
Cambodia,,,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,  1 682,129,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,305,,,,,,43,,,,,,,,,,,,,,,,,105,117,,,,,,17,,138,,,,,,,288,,,,,,,,,,,190,,,,,,,,,,,,,,,,,57,,,50,33,,,,,,,,,,45,,,,,,169,,,,,62,,,,33,,,,,,,,,,,,,,,136,,,,,,,,,52,,,,,,,,,  34 142,,,,,,,,,,,,,,,102,,217,,,,,,  40 382,,,,,
Indonesia,,,,,,,,,,,,  9 200,,,,,,,,,,,,,,,,,,,,,,,,  1 820,,,,,,,,  61 333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  10 160,,,,,,,,,  16 041,  10 160,,,,,,,,,,,  1 921,,,,,,  1 921,,,,,,,,,,,,,,,,,,,,,  5 897,,,,,,,,,,  6 976,,,,,,  3 415,,,,,  27 094,,,,,,,,,,,,,,  1 921,,,,,  19 108,,,,,,,,,,,,,,,,  1 921,,  19 108,,  19 108,,,,,,,,,,,,,  26 555,,  10 245,,,,,,,,,,,
Lao People's Democratic Republic,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,  1 183,,,,,,,,,,  2 969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 628,,,,,,,,,,,,,,,,,,,,,,,  11 278,,,,,
Malaysia,470,,,,,,,,,,,  4 980,,,,,  336 099,,,,,,,,,,,,,  5 705,,,,  13 249,,,,,,,,,,  9 725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  124 431, 1 003 723,,544,,,,,,  15 426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  236 572,,,  192 247,,,  2 008,,,,,,,,  25 186,,,,,,  20 381,,,,,  3 213,,,,,,,,,,,,,,,,,,,  74 564,,,,,908,,,,  6 222,,,,,,,,,  7 770,,,,,,,,,,,,,,,  9 239,,,,,,,,  81 836,,,,,
Myanmar,,,,,,,,,,,,,,,,,  1 610,,,,,,,,,,,,,,,,,,,,,,,,,,,  46 629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  36 142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  3 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,  1 180,113,447,,,73,,13,144,131,62,  3 862,487,,,108,154,,,515,,,,,34,,,157,,79,20,,,38,,  5 383,126,,,,,,91,  34 770,248,,122,,512,,38,,,10,,,16,  5 565,32,428,,,16,444,156,1,,,,,,,8,109,  1 165,,,,,,  3 661,33,,148,,,,975,33,,,,,,20,236,53,  10 290,  3 196,567,69,418,,595,  1 675,,  13 298,172,,53,,165,,,,130,,3,47,,,,,,767,,,,13,,,,,141,,3,,,,6,,408,,,67,468,,372,,,186,,,631,395,483,33,16,59,23,108,,107,59,51,117,  6 679,,,34,64,,,,,,,,,,709,,,,,793,,,,,,786,33,  1 262,168,,28,122,,585,  1 000,61,,329,,137,,,,,550,851,,,,,,418,  4 142,,  34 394,,13,,,8,400,,,,7,10
Singapore,,,,,,,,,,,,  8 706,,,,,  68 502,,,,,,,,,,,,,,,,,,,  3 814,,,,,,,,  365 797,  56 502,  18 709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  124 357,  136 979,,,,,,,,,,,,,,,,,,,,,,,,,,  971 827,,,,,,,,,,,,,,,,,,,,,,,  3 386,,,,,,,,  108 812,,,,,,  12 820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  9 222,,,,,,,,,  15 658,,,,,,,,,,,,,,,,,  14 344,,,,,,,,,,,
